Unnamed: 0,question,answer,파일명,result,source,Contain,bert_f1,f1_score,cosine_similarity
1,자산운용 관련 제도 정비를 통해 보험금청구권 신탁이 허용되는게 언제부터였지?,유가족 재산관리가 용이하도록 해 주는 보험금청구권 신탁 허용은 11.12.부터 시작됩니다,241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다.hwp,보험금청구권 신탁이 허용되는 것은 2024년 11월 12일부터입니다.,241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다.,1,0.7777258157730103,0.11764705882352941,0.12616795
2,금감원 지자체 금융권이 공동으로 참여한 설명회는 어느 나라에서 진행되었지?,금감원 지자체 금융권이 공동으로 참여한 투자설명회는 홍콩에서 개최되었습니다.,241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담.pdf,금감원 지자체 금융권이 공동으로 참여한 설명회는 한국에서 진행되었다.,"240717 (보도자료) 석간_금감원, 2024년 대부업자 대상 전국 순회 설명회 개최",0,0.907371461391449,0.625,0.67223936
3,미 대선 및 FOMC 결과에 대응하기 위한 회의가 있었는데?,금융감독원은 美 대선 및 FOMC 결과와 관련하여 11.8일(금) 오전 이복현 원장 주재로 금융상황 점검회의를 개최하였습니다.,241111 (보도참고) 배포시_금감원 금융상황 점검회의 개최.pdf,"미국 대선 및 FOMC 결과에 대응하기 위한 거시경제금융회의가 개최되었으며, 관계기관들은 금융시장 영향을 점검하고 대응방향을 논의하였다.",240919 美 통화정책 전환에 대응해 긴밀한 관계기관 공조 하에 리스크 관리 철저,0,0.7477582097053528,0.20000000000000004,0.69931996
4,25사업연도부터 달라지는 통제활동 공시에는 뭐가 있을까?,25사업연도부터 상장회사와 대형 비상장회사는 내부회계관리제도 운영실태보고서에 횡령 등 자금 부정을 예방 적발하기 위한 통제활동을 기재하여야 합니다.,241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동.pdf,"25사업연도부터 상장회사와 대형 비상장회사는 '횡령 등 자금 부정을 예방·적발하기 위한 통제 활동'을 공시해야 하며, 이는 '24사업연도에는 선택 적용이 가능합니다.",241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동,1,0.8529862761497498,0.45714285714285713,0.8571757
5,IFRS17 관련 보험개혁회의에서 IFRS17 도입 관련 문제점으로 지적된 평가내용이 있었나?,회의 참석자들은 IFRS17 도입으로 금리변동에 따른 보험부채 영향이 커진 가운데 지난 2년간 변동성 확대가 경영상 어려움으로 작용하였다고 평가하였습니다.,241111 (보도자료) 1500_ 「금리 하락기 IFRS17 안정화 및 리스크관리」 간담회 개최.pdf,"IFRS17 도입 관련 문제점으로는 보험회사가 자의적 가정을 사용할 경우 미래 위험이 이연되고, 사업비가 과다집행되는 현상이 지적되었다.",241101[별첨] IFRS17 안착을 위한 보험건전성 감독 강화방안,0,0.7365109324455261,0.058823529411764705,0.820006
6,11월 11일 여의도 오투타워에서 있었던 간담회 주제가 뭐였지?,"11월 11일 여의도 오투타워(서울핀테크랩)에서 개최된 간담회는 ’24년 제11회 「찾아가는 금융규제 샌드박스」 간담회이며, 금융위원회와 금융감독원, 한국핀테크지원센터가 블록체인 관련 기업들을 대상으로 개최하였습니다.",241111 (보도자료) 24년 제11회 찾아가는 금융규제 샌드박스 간담회.hwp,"11월 11일 여의도 오투타워에서 열린 간담회의 주제는 ""금리 하락기의 IFRS17 안정화 및 보험사 리스크관리""였다.",241111 (보도자료) 1500_ 「금리 하락기 IFRS17 안정화 및 리스크관리」 간담회 개최,0,0.7348290681838989,0.1764705882352941,0.62986386
7,24.10월중 전금융권 가계대출 증가액이 얼마였지?,24.10월중 全금융권 가계대출은 총 +6.6조원 증가하여 전월(+5.3조원) 대비 증가폭이 확대되었습니다.,241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최.hwp,2024년 10월 중 전 금융권 가계대출은 +6.6조원 증가하였다.,241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최,1,0.8536706566810608,0.22222222222222224,0.88700217
8,24.10월 기준 외국인이 보유한 상장주식과 상장채권은 총 얼마였지?,"’24.10월말 현재 외국인은 상장주식 728.9조원(시가총액의 27.7%), 상장채권 268.9조원(상장잔액의 10.5%) 등 총 997.8조원의 상장증권을 보유하고 있습니다.",241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정).hwp,"2024년 10월 기준 외국인이 보유한 상장주식은 728.9조원, 상장채권은 268.9조원으로 총 997.8조원이다.",241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정),1,0.8252836465835571,0.07692307692307691,0.85748285
9,금융감독원장이 중소기업과 소통하기 위해 24.11월에 개최한 회의는 어디에서 진행되었지?,"’24.11.7.(목) 금융감독원 이복현 원장이 김기문 중소기업중앙회장, 금융권 및 중소기업 관계자와 함께 진행한 현장 간담회는 중소기업중앙회에서 개최되었습니다.","241107 금융감독원장, 중소기업과 소통 및 협력 강화를 위한 간담회 실시.hwp",금융감독원장이 중소기업과 소통하기 위해 2024년 11월 7일 중소기업중앙회에서 회의를 개최하였습니다.,241107 (별첨) 금융감독원장 모두발언,0,0.7854318618774414,0.07692307692307693,0.75632626
10,"금융꿀팁 156번째가 퇴직연금 관련이었는데, 무슨 내용이었지?","156번째 금융꿀팁은 퇴직연금 실물이전 서비스 신청과 관련한 내용으로, 가입자 유의사항에 대해 알기 쉽게 안내하였습니다.",241107 (보도참고) [금융꿀팁 156] 퇴직연금 실물이전 신청시 유의사항 안내.pdf,"죄송하지만, 제공된 구문들에는 퇴직연금 관련 내용이 포함되어 있지 않습니다.",240825 (보도참고) OO은행 부적정 대출 관련 설명,0,0.7539907097816467,0.08695652173913043,0.3036055
11,24.6월말 기준 금융복합기업집단의 자본적정성 비율이 어느정도였지?,"’24.6월말 금융복합기업집단의 자본적정성 비율은 184.3%로 전년말(193.7%)
대비 9.4%p 하락하였습니다.",241107 (보도자료) 석간_24.6월말 금융복합기업집단 자본적정성 비율.pdf,2024년 6월 말 기준 금융복합기업집단의 자본적정성 비율은 184.3%였다.,241107 (보도자료) 석간_24.6월말 금융복합기업집단 자본적정성 비율,1,0.8575780987739563,0.35294117647058826,0.75370395
12,카카오모빌리티가 증선위에서 왜 조치를 받은거였지?,"증선위는 재무제표의 영업수익과 영업비용을 과대계상한 ㈜카카오모빌리티(이하 ‘회사’)에 대해, “직무상 주의의무를 현저히 결한 중대한 회계처리기준 위반”이 있다고 보아 중징계를 결정하였습니다.","241106(보도참고) 증선위, ㈜카카오모빌리티 회계처리기준 위반에 대하여 중징계 조치.hwp",카카오모빌리티는 고객 동의 없이 고객 신용정보를 제3자에게 제공한 사실로 인해 증선위에서 조치를 받았다.,240802 주요 민원사례로 알아보는 소비자 유의사항 - 신용카드 이용 관련 유의사항 - ,0,0.6791397333145142,0.0,0.43816352
13,위메프 티몬 사태 관련 관계부처 TF 3차 회의는 언제 어디서 진행됐었지?,위메프 티몬 사태 관련 관계부처 TF 3차 회의는 24.8.23.(금) 정부서울청사에서 진행되었습니다.,"위메프 티몬 사태 미정산 피해 현황점검, e커머스 제도개선 방안 조만간 마련.pdf",위메프·티몬 사태 관련 관계부처 TF 3차 회의는 2024년 8월 23일 금요일 15:40에 정부서울청사에서 진행되었다.,"위메프 티몬 사태 미정산 피해 현황점검, e커머스 제도개선 방안 조만간 마련",1,0.8730266094207764,0.56,0.88441265
14,"보험부채 할인율 현실화 방안 문서에서, 보험 할인율은 어떻게 계산하고 있지?",할인율은 실무적으로 국고채 수익률을 토대로 산출한 무위험 금리기간구조에 유동성프리미엄을 가산하여 산출합니다.,241106[별첨1] 보험부채 할인율 현실화 연착륙 방안.pdf,"보험부채 할인율은 매년 금융감독원이 개최하는 할인율 운영 자문위원회를 통해 회사별 경제적 가정을 바탕으로 설정되며, 실제 국고채 금리를 활용하여 단계적으로 현실화되고 있다.",241106[별첨1] 보험부채 할인율 현실화 연착륙 방안,1,0.725093424320221,0.125,0.73794204
15,"대부업계 개인채무자보호법 준비실태 사전 현장점검 결과에 따르면, 개인채무자보호법은 언제 시행되지?",개인채무자보호법은 24.10.17. 시행됩니다.,241106 대부업계 「개인채무자보호법」 준비실태 사전 현장점검 결과.pdf,개인채무자보호법은 2024년 10월 17일부터 시행된다.,241007 [별첨] 「개인채무자보호법」시행 점검회의 모두발언,0,0.8309903740882874,0.25,0.8048706
16,카드사 유료 부가상품 관련 원스톱 서비스가 뭐지?,카드사 원스톱 서비스란 모바일 앱에서 유료 부가상품 가입 내역을 통합 조회하고 간편하게 해지할 수 있는 서비스를 말합니다.,241106 내가 가입한 카드사 유료 부가상품 이제 모바일에서 쉽고 편리하게 관리하세요!.pdf,카드사 유료 부가상품 관련 원스톱 서비스는 모바일 앱에서 유료 부가상품 가입 내역을 한 눈에 확인하고 한 번에 해지할 수 있는 통합 조회 및 간편 해지 서비스를 제공하는 것입니다.,241106 내가 가입한 카드사 유료 부가상품 이제 모바일에서 쉽고 편리하게 관리하세요!,1,0.8789352774620056,0.6190476190476191,0.96312517
17,"24년 11월에 있었던 옴부즈만 위촉 관련, 이번 옴부즈만은 몇기야?",금융감독원은 24.11.4. 외부전문가 5명을 제7기 옴부즈만으로 위촉하였습니다.,241106 (보도참고) 배포시_금융감독원은 제7기 옴부즈만을 신규로 위촉하였습니다.pdf,이번 옴부즈만은 1기입니다.,"240910_금융감독원,「2024년 반부패 청렴 워크숍」개최",0,0.7362889647483826,0.0,0.32352832
18,보험사기로 인해 형사처벌을 받는 경우 형량이 어느정도인지?,보험사기방지특별법상 10년 이하의 징역 또는 5천만원 이하의 벌금을 받게 됩니다.,241104 금융감독원과 부산남부경찰서가 공조 보험사기 적발.pdf,"보험사기로 인해 형사처벌을 받는 경우, 보험사기방지특별법에 따라 10년 이하의 징역형 또는 5천만원 이하의 벌금에 처해질 수 있습니다.",240930[금융꿀팁] 보험 가입 후 알릴의무(통지의무) 관련 유익정보 및 유의사항 안내,0,0.8696922063827515,0.32,0.9646931
19,경영인정기보험은 누구를 대상으로 가입하는 보험인가?,경영인정기보험은 중소기업이 경영진의 유고 등에 대비하기 위해 대표이사 등을 피보험자로 하여 가입하는 보장성 보험입니다.,241101 경영인정기보험 관련 불건전 영업행위를 지속 점검하겠습니다.pdf,경영인정기보험은 외국인 근로자를 대상으로 가입하는 보험입니다.,(별첨4)서면안건,0,0.8371702432632446,0.3,0.6802279
20,24년도 3분기 등록 ABS 발행실적이 얼마인지?,24년 3분기 등록 ABS 발행금액은 10.7조원입니다.,241030 (보도자료) 석간_24년 3분기 등록 ABS 발행 실적.pdf,2024년 3분기 등록 ABS 발행금액은 10.7조원입니다.,241030 (보도자료) 석간_24년 3분기 등록 ABS 발행 실적,1,0.9654214382171631,0.8333333333333334,0.9486339
21,중앙은행 디지털화폐(CBDC)가 무엇인지?,"Central Bank Digital Currency의 약자로, 중앙은행이 발행하는 디지털 형태의 새로운 화폐를 의미합니다.",241030중앙은행 디지털 화폐(CBDC) 등 혁신금융서비스 9건 지정.pdf,"중앙은행 디지털화폐(CBDC)는 중앙은행이 발행하는 디지털 형태의 새로운 화폐로, 금융기관 간 자금 거래 및 최종 결제 등에 활용되는 시스템입니다.",241030중앙은행 디지털 화폐(CBDC) 등 혁신금융서비스 9건 지정,1,0.7818937301635742,0.33333333333333337,0.83859015
22,"창구 방문, 복잡한 서류가 필요없는 실손보험 청구 간소화는 언제부터 시행되었지?",24.10.25. 부터 실손보험 청구 전산화가 순차적으로 시행됩니다.,241024 24.10.25일부터 창구 방문 없는실손보험 청구 전산화 순차 시행.pdf,실손보험 청구 간소화는 2024년 10월 25일부터 시행됩니다.,241024 24.10.25일부터 창구 방문 없는실손보험 청구 전산화 순차 시행,1,0.7883034348487854,0.42857142857142855,0.6956232
